,dullness,acne,puffiness,elasticity,pores,darkspot,redness,uneven_texture,wrinkles
lamium_album_flower_extract,5.438860125443727,0.0,0.0,5.432315560170232,5.42908428260194,0.0,0.0,5.430379089513848,5.439582216275487
tocopherol,1.0155585477266005,1.0285146491341253,0.9933704024081919,0.9586426129463951,1.0727686099238607,1.001434508322817,1.0935009237394029,1.0429213746018646,0.992491574847009
ascorbyl_palmitate,2.8929304484262968,2.934935736969818,0.0,2.8815184762359425,2.9412308527348383,2.9651505691731344,2.954061910737577,2.9118823607768016,2.88238464621902
peg-120_methyl_glucose_dioleate,4.464317310334727,4.448067842280674,0.0,4.469729953358974,4.454674909978652,4.4646383568451276,4.466863690598461,4.4675701808026025,4.4741108865137
peg-40_hydrogenated_castor_oil,2.080504349045924,2.078286107957907,1.8078746953393676,2.111150512246,2.0407435392910984,2.033184193464122,1.999093390897416,2.0476785255281458,2.0971565297225814
polysorbate_80,0.9889532014409055,1.0780828105410052,1.090785816011644,0.797878593456481,0.9981730624418205,0.8243600719010717,0.9633697957163615,0.9491184705138244,0.9053584905081182
caprylic/capric_triglyceride,1.3043430982487505,1.3526825448083863,1.3439758034450404,1.2662616588867677,1.355960585176835,1.2581081418007638,1.313377953529177,1.320307336391735,1.2861510687489035
silica,1.6917980656956293,1.7495324612234342,1.4131278794740378,1.6338153472016572,1.749484884208495,1.6126341037140572,1.6864555675408741,1.65554530597846,1.6024917834480317
benzoic_acid,3.250673155688261,3.3202750380320807,0.0,3.2999917807963723,3.2408690286370887,3.2148481947766747,3.2732987005873557,3.2591934061860175,3.26010045309922
behenyl_alcohol,2.720687790058177,2.7803004279546433,2.7398379287890644,2.636510438460025,2.7501868590283616,2.750332739047068,2.7249117623434134,2.7236968488708686,2.64236898845528
glyceryl_stearate,1.638441580625051,1.6606613514817483,1.6516971513066083,1.5952943687520629,1.6784951736476799,1.6413137042893027,1.6677713724807173,1.6466305945097346,1.6187880717977714
lecithin,1.8812636997704997,1.9589218717725847,1.9075034038758016,1.854749065032396,1.9753672574414696,1.9469828815431955,1.9584491336583432,1.9090700435123993,1.8280424328286626
hydrolyzed_soy_protein,3.779047723710089,0.0,0.0,3.7215301364285374,3.794897585745945,0.0,3.799646993453813,3.7865591394042992,3.75497818090133
caramel,3.562401713862101,0.0,3.5914740780965917,3.570588284047541,0.0,3.6030620666512254,3.7232746810558788,3.649542029741389,3.6464945710997974
cetyl_ethylhexanoate,3.9341458800695683,0.0,0.0,3.9298081700379255,3.948374849440667,3.9344866539871886,3.9532184528460856,3.9333482176250136,3.9469332571455875
